cta_per,cta_id,(No column name),(No column name),total
30559,3082703,PTM,147,12396.89
30561,2313710,PTM,1,6458.92
30593,2291445,PTM,406,6151.35
30626,2251914,PTM,1,6897.23
30650,2978284,PTM,1,7058.99
30664,2693547,PTM,1,14830.78
30675,2885660,PTM,6,8211.89
30715,2290146,PTM,1,30756.77
30722,2584586,PTM,9,5042.98
30727,2842553,PTM,1,9844.30
30730,2675335,PTM,6,3868.21
30760,2468432,PTM,1,6636.95
30761,2390754,PTM,1,4010.11
30773,2339029,PTM,1,2768.11
30781,3145205,PTM,6,3034.57
30782,2492765,PTM,1,4843.64
30787,2419237,PTM,1,6786.69
30788,2411991,PTM,1,1604.05
30789,2279622,PTM,1,3794.18
30791,2637047,PTM,168,9684.28
30792,2887672,PTM,1,12867.01
30798,2432439,PTM,1,2215.20
30814,2316127,PTM,1,2921.89
30823,2618532,PTM,1,7596.05
30827,2190719,PTM,1,3335.87
30830,2540212,PTM,1,5806.50
30857,3117276,PTM,1,14773.45
30870,2264861,PTM,1,2508.08
30872,2747090,PTM,385,7529.87
30883,2407644,PTM,1,8748.71
30884,2273779,PTM,6,3939.70
30888,3026760,PTM,1,23613.56
30909,2604552,PTM,26,8870.52
30954,3033054,PTM,9,9858.10
31133,2073277,PTM,23,4201.25
31188,2314913,PTM,340,8611.90
31191,2957759,PTM,1,6926.62
31234,2984655,PTM,9,7113.49
31235,2796261,PTM,12,2099.45
31252,2729601,PTM,9,3518.39
31267,3035087,PTM,221,3957.85
31303,2717925,PTM,6,8594.79
31370,2646754,PTM,6,5582.99
31432,2662418,PTM,1,5153.09
31438,2931193,PTM,651,4139.95
31483,2982835,PTM,9,5561.29
31491,2535563,PTM,1,14404.82
31554,2665002,PTM,6,1959.43
31560,2778016,PTM,6,6443.07
31616,2967540,PTM,1,5629.99
31626,3001813,PTM,3,2366.25
31628,3020015,PTM,12,4476.37
31640,3029264,PTM,90,4184.35
31641,2673850,PTM,3,5106.16
31716,2512210,PTM,6,5625.44
31785,2350359,PTM,1,7418.71
31859,2452920,PTM,1,9050.39
32033,2835335,PTM,12,836.35
32040,3091172,PTM,6,12075.90
32159,2418397,PTM,6,4462.85
32207,3040954,PTM,9,11111.68
32220,3001871,PTM,1,1967.27
32306,2353513,PTM,12,2765.11
32363,2368427,PTM,1,6786.69
32381,2381424,PTM,1,6033.59
32756,2271665,PTM,12,3465.05
32872,2649248,PTM,9,2936.70
